0 	47311 	47312 	60393 	
19050 	11962 	41356 	55069 	22246 	32294 	
16433 	42549 	8038 	12306 	40893 	40511 	
1379 	35963 	8735 	27160 	11906 	40970 	
11892 	10671 	25937 	31881 	21586 	43736 	
23324 	40898 	19446 	34281 	5185 	58039 	
7160 	27180 	36394 	48764 	33990 	39162 	
20935 	12378 	44823 	41155 	43249 	58069 	
46569 	43017 	18172 	38102 	2020 	4624 	
29756 	49321 	29987 	18707 	8352 	40950 	
5449 	29490 	33840 	22760 	45096 	44730 	
8997 	6231 	25902 	31833 	8693 	41303 	
25184 	25683 	20959 	38282 	5593 	41361 	
44155 	36738 	138 	7358 	44016 	58083 	
9357 	15613 	30017 	23905 	39560 	10223 	
42936 	42226 	54549 	8855 	28913 	28728 	
40920 	36743 	41279 	23482 	19665 	58094 	
11402 	46908 	37346 	21591 	46094 	22052 	
20833 	34459 	14870 	29585 	6585 	35253 	
21532 	6149 	34644 	13681 	15847 	39410 	
6887 	29990 	1985 	7265 	18539 	22918 	
22071 	26690 	45198 	30177 	1352 	29552 	
5786 	26471 	11807 	41515 	7204 	40224 	
13761 	36766 	32425 	44698 	23276 	5769 	
2056 	9249 	35386 	31514 	16635 	6195 	
41413 	20090 	3631 	6908 	14043 	24399 	
8564 	20181 	50369 	19480 	33162 	9387 	
12046 	27849 	16044 	10187 	891 	32761 	
37435 	43486 	41734 	13498 	31120 	2655 	
18641 	13689 	39002 	11997 	33370 	4141 	
22640 	8046 	25424 	21279 	19926 	25668 	
1933 	3320 	13412 	30264 	21227 	13962 	
34610 	11611 	21838 	20050 	19106 	7191 	
14165 	36558 	10038 	1507 	32723 	17720 	
11947 	41470 	8916 	3701 	5056 	26650 	
257 	13476 	45609 	42565 	39568 	431 	
18365 	25729 	22096 	10170 	44530 	7511 	
43302 	33555 	8662 	39113 	31810 	46202 	
41655 	26327 	20122 	23529 	21988 	42657 	
43353 	19968 	10765 	32816 	18678 	46480 	
36830 	3916 	17567 	42977 	22254 	22542 	
39218 	47843 	17129 	22004 	31853 	26910 	
13954 	22595 	7729 	12971 	36640 	29022 	
38742 	10590 	28338 	19172 	16569 	18578 	
32588 	10198 	32170 	28288 	11720 	21108 	
41733 	2161 	35981 	17327 	21336 	45134 	
18534 	11210 	32160 	2687 	2781 	13864 	
777 	12143 	32887 	30344 	24433 	32755 	
32272 	15562 	35757 	36630 	15736 	37438 	
26194 	39222 	45821 	37177 	32258 	28735 	
